step,regime,spot,time_to_expiry,fair_value,delta,gamma,vega,theta,bid,ask,half_spread,trade_size,trade_price,option_inventory,hedge_shares,cash,cumulative_transaction_cost,pnl
14,calm,100.33790409306417,0.11682539682539682,2.2722705637069396,0.5665761999770501,0.0819302156021759,13.490854187429907,-9.720818469030895,2.0150284359385746,2.4795126914753047,0.23224212776836495,0,,1,-56.65761999770501,5477.9517345897775,1.3147829603681007,20.271949489471808
15,calm,100.25245921378868,0.11666666666666665,2.2226163685169595,0.5595506939913768,0.08228844306127599,13.5083946506568,-9.721248293161104,1.9687010718263234,2.426531665207596,0.22891529669063632,-1,2.426531665207596,0,0.0,39.383149992682775,2.470796107962153,39.383149992682775
16,calm,100.3582522536153,0.1165079365079365,2.280728301942098,0.5682306272022777,0.08196656115797926,13.465622650899265,-9.73275804113922,2.0479195057119775,2.5135370981722183,0.23280879623012057,0,,0,0.0,39.383149992682775,2.470796107962153,39.383149992682775
17,calm,100.3651277977896,0.11634920634920634,2.2830917706078964,0.5687885554964702,0.08199674489035008,13.454072288946094,-9.738572468485746,2.0501246219771674,2.5160589192386253,0.2329671486307291,0,,0,0.0,39.383149992682775,2.470796107962153,39.383149992682775
18,calm,100.31321223440926,0.11619047619047618,2.252127494325606,0.5645181843149559,0.08224494176211453,13.46244803587486,-9.74186835011232,2.0212349522057904,2.4830200364454216,0.23089254211981564,0,,0,0.0,39.383149992682775,2.470796107962153,39.383149992682775
19,calm,100.17480410642912,0.11603174603174603,2.1732378453514656,0.5530854542190154,0.08276893057952923,13.492400087656751,-9.73669762173331,1.9476309097129174,2.398844780990014,0.22560693563854822,0,,0,0.0,39.383149992682775,2.470796107962153,39.383149992682775
20,calm,100.12921490974098,0.11587301587301586,2.146564033875734,0.5492899871130887,0.08296565163747317,13.493676587929887,-9.737261752193971,1.9227442436060598,2.3703838241454083,0.2238197902696742,0,,0,0.0,39.383149992682775,2.470796107962153,39.383149992682775
21,calm,100.13049716276103,0.11571428571428571,2.1457223631134497,0.5493775467011262,0.08301919623662521,13.484234106893567,-9.7430410100844,1.9219589647848485,2.369485761442051,0.22376339832860115,0,,0,0.0,39.383149992682775,2.470796107962153,39.383149992682775
22,calm,100.08167808885922,0.11555555555555555,2.117455272828053,0.5452994988726654,0.08321855586777778,13.48491451984055,-9.74245730473351,1.8955857695485736,2.339324776107533,0.22186950327947957,0,,0,0.0,39.383149992682775,2.470796107962153,39.383149992682775
23,calm,100.31022078898386,0.11539682539682539,2.242696494576684,0.5642293328814887,0.08253955429545,13.417586048013817,-9.769799091580115,2.0124358294400464,2.4729571597133218,0.23026066513663784,0,,0,0.0,39.383149992682775,2.470796107962153,39.383149992682775
24,calm,100.48834304689478,0.11523809523809524,2.342952309074704,0.5788724171966377,0.0818970435254908,13.342084946087208,-9.779298947928638,2.105974504366699,2.579930113782709,0.23697780470800517,0,,0,0.0,39.383149992682775,2.470796107962153,39.383149992682775
25,calm,100.00879523904642,0.11507936507936507,2.0732953849740596,0.5391494154003278,0.08358863193548305,13.469426391335418,-9.748518592855495,1.8543845941807977,2.2922061757673218,0.21891079079326198,0,,0,0.0,39.383149992682775,2.470796107962153,39.383149992682775
26,calm,99.67597477708394,0.11492063492063491,1.8969628914167487,0.5111643044042413,0.08429900094001404,13.47502138613881,-9.679466547069637,1.6898663776918266,2.104059405141671,0.20709651372492216,1,1.6898663776918266,1,-51.11643044042413,4964.437527491526,3.5098121142170093,59.05378535892032
27,calm,99.64509749656787,0.11476190476190476,1.8796842813014436,0.5085135469273991,0.0843972535601791,13.463747879534294,-9.676063475196324,1.648745434454247,2.0606231281486402,0.2059388468471967,0,,1,-50.85135469273992,4938.018746069813,3.515094813961403,58.898978009333405
28,calm,99.57076712791839,0.1146031746031746,1.8405868562015613,0.502185504449508,0.08453670885677078,13.447257650243595,-9.658501944664918,1.6122675368360566,2.018906175567066,0.20331931936550462,0,,1,-50.21855044495081,4874.997339914767,3.5276965748402365,58.75643367910379
29,calm,99.60814058682448,0.11444444444444443,1.8578788660518626,0.5052947345555501,0.0845573936331909,13.442003528497912,-9.676015686190368,1.6284009820263878,2.0373567500773375,0.2044778840254748,0,,1,-50.52947345555501,4905.961608774118,3.533890667430625,58.602599640164954
30,calm,99.64617467849654,0.11428571428571428,1.8756202779121125,0.5084626452720031,0.08457221381709623,13.435967485072387,-9.69325220331741,1.644953719292001,2.056286836532224,0.20566655862011157,0,,1,-50.84626452720031,4937.522313832182,3.540204071122976,58.448584796949035
31,calm,100.01894511922775,0.11412698412698412,2.0694698541908068,0.5398455568695946,0.0839135662044246,13.4126037572572,-9.78440509625923,1.825815373960023,2.2631243344215908,0.21865448023078404,1,1.825815373960023,2,-107.9691113739189,10467.144986875415,4.702877447886176,82.08233263379407
32,calm,99.82280292298272,0.11396825396825397,1.9636531580425185,0.5233038934417088,0.08441478615821839,13.421157582858935,-9.75157748201466,1.7020883964536697,2.125217919631367,0.21156476158884874,0,,2,-104.66077868834176,10136.83189579105,4.768926856221382,82.03024262730469
33,calm,99.75618463852125,0.1138095238095238,1.9274332324424108,0.5176353164365203,0.08459180520691045,13.412650115356263,-9.740918348151052,1.6682952058687692,2.0865712590160523,0.20913802657364156,0,,2,-103.52706328730406,10023.714153893023,4.791545880796073,81.73596000932594
34,calm,100.11610976847491,0.11365079365079364,2.1176495290206034,0.5479269957598788,0.08381904101854479,13.367528781528799,-9.81551231608496,1.8457670105762232,2.2895320474649843,0.22188251844438045,0,,2,-109.58539915197576,10630.129864931096,4.912853284484425,82.39592021387216
35,calm,100.23021914257335,0.11349206349206349,2.179157733150859,0.5574582981591314,0.0835150502222978,13.330782246412715,-9.833053045804578,1.9031541650297519,2.3551613012719668,0.22600356812110756,0,,2,-111.49165963182628,10821.156557588212,4.951066265612074,82.15462675123854
36,calm,100.34735425608612,0.11333333333333333,2.2434652994122857,0.5672105519975509,0.08315243952050397,13.285336099614197,-9.845887154399053,1.9631531243516627,2.423777474472909,0.23031217506062313,0,,2,-113.44211039951017,11016.839987217214,4.990210780440839,81.91740728199147
37,calm,100.2562624091122,0.11317460317460316,2.190579997705946,0.5596092696634084,0.08354329650263216,13.30490089175444,-9.846671089472888,1.9138111378596476,2.3673488575522446,0.2267688598462984,0,,2,-111.92185393268169,10864.394272903453,5.02069382669434,81.64351525538223
38,calm,99.96509201931669,0.11301587301587301,2.029635438523769,0.5351222355573119,0.08446494804960564,13.354903041917817,-9.815704098435685,1.7636498641426765,2.1956210129048617,0.21598557438109256,0,,2,-107.02444711146238,10374.726635419529,5.118607771402184,81.94501931045488
39,calm,99.99446852693784,0.11285714285714285,2.0438325668529487,0.5375754642880756,0.08445190011782891,13.34192408626669,-9.82669284411832,1.7768957848738012,2.210769348832096,0.21693678197914756,0,,2,-107.51509285761512,10423.77868366895,5.128420143526493,81.63062811794771
40,calm,100.01354201295702,0.11269841269841269,2.0525406031845392,0.539159921435263,0.08446276681312999,13.32995720857666,-9.835715724941217,1.7850203827711753,2.220060823597904,0.21752022041336416,0,,2,-107.8319842870526,10455.465779273683,5.134758830384811,81.31520907693448
41,calm,99.79710709326547,0.11253968253968254,1.936275252694685,0.5207854677542039,0.08500045331093493,13.338004746262161,-9.79737481237379,1.676544810764141,2.096005694625229,0.2097304419305439,-1,2.096005694625229,1,-52.078546775420385,5099.901768215329,6.26756518521802,96.2409836765346
42,calm,99.67675912731272,0.11238095238095237,1.872665353254959,0.5104976932736789,0.08524940881306405,13.326003953824365,-9.770882119543055,1.6421967745868769,2.0531339319230413,0.20546857866808227,1,1.6421967745868769,2,-102.09953865473578,9920.595263548656,7.284751256990777,118.17721270179572
43,calm,99.66393866368263,0.11222222222222221,1.864576747201454,0.5093575719173689,0.08532672154815144,13.315824170868924,-9.772910278131194,1.6096501051389565,2.0195033892639516,0.20492664206249744,0,,2,-101.87151438347377,9897.86492140437,7.289296416387755,117.86390975366885
44,calm,99.49784367232546,0.11206349206349206,1.7796097893532732,0.4951132897831138,0.08554678698834875,13.28688657270775,-9.724091967306538,1.5303759334666038,1.9288436452399425,0.1992338558866693,0,,2,-99.02265795662277,9614.353158986369,7.345987430668499,117.7341754708159
45,calm,99.48044426605584,0.1119047619047619,1.7694651050709709,0.49356640663961243,0.08561769908634564,13.274421015119575,-9.723496205758977,1.5209109430312158,1.918019267110726,0.19855416203975507,-1,1.918019267110726,1,-49.356640663961244,4864.34946100482,8.354146923708415,131.2754307809746
46,calm,99.49704502505591,0.11174603174603173,1.7761256496341176,0.49493023769106775,0.08566841320941612,13.267870796610037,-9.735304770088092,1.5521252311086318,1.9501260681596035,0.1990004185254859,0,,1,-49.49302376910678,4877.916463014952,8.35686086689908,131.11941359738375
47,calm,99.5031356909192,0.11158730158730158,1.7775956001301907,0.4953948826071267,0.08572528536938316,13.259443129541697,-9.74327390984194,1.553496694921468,1.9516945053389136,0.19909890520872278,0,,1,-49.53948826071267,4882.5389009555,8.357785539421695,130.96403850412753
48,calm,99.41416296283919,0.11142857142857142,1.732316658816778,0.4877029535629038,0.08582802238894138,13.232753564634605,-9.71545157690246,1.511251442676054,1.9033818749575022,0.19606521614072414,0,,1,-48.770295356290376,4806.054938471652,8.373079273171713,130.8285140572798
49,calm,99.51817647804224,0.11126984126984127,1.7819597773899503,0.4965715240819491,0.08583706279896311,13.24296318764089,-9.760243127427765,1.5575684723048238,1.956351082475077,0.19939130508512667,0,,1,-49.65715240819491,4894.295683394564,8.39073095249216,130.70240437777738
50,calm,99.674574148211,0.1111111111111111,1.859113870807235,0.5099382519404361,0.0857401245880545,13.250687571560777,-9.816996097080457,1.6295532414631504,2.03867450015132,0.20456062934408475,-1,2.03867450015132,0,0.0,147.5977026061173,9.400642056432087,147.5977026061173
51,calm,99.73084313103001,0.11095238095238094,1.886382007548093,0.5147170977583004,0.0857212662975144,13.24378802916747,-9.83892656346467,1.6799944130423707,2.0927696020538153,0.20638759450572225,-1,2.0927696020538153,-1,51.47170977583004,-4777.489013930378,10.447305459099928,167.18979865402252
52,calm,99.5868582390942,0.11079365079365079,1.8116044887032885,0.5023081343230095,0.08596373828558598,13.223982478090466,-9.80133086787263,1.6352269879601682,2.0379819894464086,0.20137750074312033,1,1.6352269879601682,0,0.0,183.84897087003628,11.492486632053804,183.84897087003628
53,calm,99.71530425682303,0.11063492063492063,1.8752702482487322,0.5132959004421854,0.08586828952894539,13.224422437033676,-9.846491359160714,1.669627141616067,2.0809133548813974,0.20564310663266505,1,1.669627141616067,1,-51.32959004421854,5134.188276207948,12.536155769781253,203.36961239557513
54,calm,99.62699436714998,0.11047619047619046,1.828716902896275,0.5056575156464258,0.08604526640334614,13.209238025247346,-9.82609915418007,1.6011928704022247,2.0062409353903257,0.20252403249405043,1,1.6011928704022247,2,-101.13150312928516,9934.671580584069,13.548478752661097,224.98726856062058
55,calm,99.78144993722842,0.11031746031746031,1.906276936429819,0.5188912741376507,0.08588608547569265,13.20671240519776,-9.876169979239583,1.6485563816890212,2.0639974911706167,0.20772055474079787,1,1.6485563816890212,3,-155.6673822412952,15210.376699994657,14.656812570940652,249.54267295440695
56,calm,99.5928408313761,0.11015873015873015,1.8083793211515058,0.5026135720614232,0.08620553058356074,13.186766830429036,-9.826937304680301,1.5322179066343549,1.9345407356686568,0.20116141451715092,0,,3,-150.78407161842696,14723.936653845654,14.754081126459349,249.436405590297
57,calm,99.75345540113813,0.10999999999999999,1.8886496009092966,0.5164015608163696,0.08605785157729293,13.187641036335291,-9.880860918892578,1.6071100776483738,2.0201891241702197,0.2065395232609229,0,,3,-154.9204682449109,15136.473986275756,14.836605097739625,249.21684675639153
58,calm,99.74977016128403,0.10984126984126984,1.8851784103902673,0.516041743476643,0.08612635336503932,13.178119680557984,-9.885890774374221,1.6038714568941195,2.0164853638864155,0.20630695349614792,-1,2.0164853638864155,2,-103.2083486953286,10178.798828632796,15.88825950566436,260.8254496261652
59,calm,99.53014967303461,0.10968253968253967,1.7723658268232967,0.49703834918881445,0.08644634909275127,13.149871358459023,-9.823258279581244,1.5236173164261357,1.9211143372204575,0.1987485103971609,0,,2,-99.4076698377629,9800.441036653034,15.96391593277489,260.85394441754397
60,calm,99.47490366449344,0.10952380952380952,1.743481882962378,0.49220154305886765,0.0865428605104818,13.130911591595728,-9.808911810518579,1.4966685968038986,1.8902951691208572,0.19681328615847932,0,,2,-98.44030861177353,9704.193626256023,15.983161565727702,260.54978698932246
61,calm,99.48424200044633,0.10936507936507936,1.7465240007386598,0.49295018900539467,0.08660053645453768,13.123083161691433,-9.818362642968552,1.4995068926891695,1.89354110878815,0.1970171080494902,0,,2,-98.59003780107894,9719.086342020431,15.98614070470838,260.23596273247676
62,calm,99.53196639875502,0.1092063492063492,1.76858664817631,0.49702586738136206,0.08663301574689353,13.121531450546524,-9.84179034235335,1.520091342748497,1.9170819536041228,0.1984953054278128,-1,1.9170819536041228,1,-49.702586738136205,5043.937228035943,16.979313532011897,273.7996997021937
63,calm,99.35953024232741,0.10904761904761905,1.6826179171905977,0.4820123467197136,0.08676062175778475,13.076331986170938,-9.780274373882959,1.4648825167388277,1.8503533176423679,0.19273540045177007,0,,1,-48.20123467197136,4894.7337572862525,17.009148259216396,273.74351489805304
