final_pnl,max_drawdown,pnl_volatility,sharpe_like,trades,max_abs_inventory,transaction_costs,average_half_spread,regime,seed
1988.8963182673924,45.69902757734053,9.779968439682253,9.10383583498811,154,14,92.21721699237114,0.1395585590213724,calm,1
2104.3376334709683,8.827931152191923,8.009713307512927,11.643634403241052,145,6,135.6714926423195,0.16639999657957938,calm,2
2776.1782235722135,7.7318346049505635,10.698473986721748,11.61649835973118,131,7,195.67188512153677,0.25703026259937845,calm,3
2901.4390330186216,4.081745851239248,11.653164116728188,11.14600705564424,125,7,193.3808027310699,0.27861450027960266,calm,4
1760.488740928989,38.473978405061644,8.914662794553161,8.734977954101131,162,11,131.67003275724682,0.13380796832083047,calm,5
2719.972865097667,18.93703018672386,10.061881360187204,12.101385790383427,132,8,192.32329118241447,0.23016358803029913,calm,6
2050.426246218119,19.19500035533315,7.583029556403688,12.104619180359512,189,8,54.455780505699494,0.12296776643919669,calm,7
2202.264953667792,5.642275844671531,8.083641234324977,12.195855335662795,145,7,171.79587646174255,0.17610816766373505,calm,8
2553.956782284287,47.306905511628884,10.324232319861155,10.982888346604422,135,11,208.0989026346071,0.2169853909475878,calm,9
1894.539532972173,29.712303601283566,8.940676198935073,9.485998087172652,167,9,37.71899718014007,0.12295917513151122,calm,10
2824.2426970566817,9.657161504255328,10.528582930589497,12.008308021165726,130,6,203.51366645804,0.2530391515402788,calm,11
2838.6650929392467,20.23294547366322,10.901709409772664,11.656529924846327,138,9,217.34614060016227,0.23595421490262355,calm,12
2853.142383276383,18.131130775916972,11.834017629636094,10.713460274083658,126,10,208.80307117702657,0.2625696996372745,calm,13
2967.819782781226,9.80871245093249,12.867530856222588,10.325046928213418,109,7,183.45101458546316,0.3033433463642066,calm,14
3420.0397300264162,4.003132564739644,12.525313602733846,12.22340692859689,137,9,236.90294425175438,0.2853525302171141,calm,15
2384.3808533665615,4.606734740664251,9.06785337840814,11.771203388810953,143,7,140.1681770905351,0.1994515188265078,calm,16
1920.517977882143,32.09351462701488,7.176349205609434,11.980213026181401,165,9,95.3878182306799,0.1352253255856276,calm,17
2267.347397101896,6.848270953123574,8.166854901310113,12.428335094414109,157,6,162.5650930843284,0.1707124927373506,calm,18
2254.2067319244875,15.692029553174507,8.613745994651156,11.606011571162519,138,10,171.8667325428737,0.19139754432114456,calm,19
1970.5453863357172,74.54523692992916,10.481099245990759,8.32668480936967,178,12,60.26135748595463,0.12383283532363984,calm,20
2086.277273833144,11.646806851392284,7.87014352490479,11.8669497106391,147,7,131.1798641638371,0.16244633592546848,calm,21
